symbol,name,exchange,market_cap,share_outstanding,float_shares,sector,industry,country,currency
AM,Antero Midstream Corporation,NYQ,8482227200.0,476275000.0,332611409.0,Energy,Oil & Gas Midstream,United States,USD
AMAX,Adaptive Hedged Multi-Asset Income ETF,PCX,,,,,,,USD
AMBO,Ambow Education Holding Ltd.,ASE,8569131.0,2620955.0,34316501.0,Consumer Defensive,Education & Training Services,United States,USD
AMBP,Ardagh Metal Packaging S.A.,NYQ,2426660352.0,597699586.0,143196966.0,Consumer Cyclical,Packaging & Containers,Luxembourg,USD
AMBQ,"Ambiq Micro, Inc.",NYQ,549395584.0,18313186.0,16165416.0,Technology,Semiconductors,United States,USD
AMC,"AMC Entertainment Holdings, Inc.",NYQ,866874624.0,512943561.0,462049301.0,Communication Services,Entertainment,United States,USD
AMDY,YieldMax AMD Option Income Strategy ETF,PCX,,,,,,,USD
AME,"AMETEK, Inc.",NYQ,48142352384.0,230203873.0,228974584.0,Industrials,Specialty Industrial Machinery,United States,USD
AMG,"Affiliated Managers Group, Inc.",NYQ,8411959808.0,28128908.0,27006565.0,Financial Services,Asset Management,United States,USD
AMH,American Homes 4 Rent,NYQ,13472978944.0,370470821.0,319407134.0,Real Estate,REIT - Residential,United States,USD
AMJB,Alerian MLP Index ETN,PCX,,,,,,,USD
AMLP,Alerian MLP ETF,PCX,,,,,,,USD
AMN,"AMN Healthcare Services, Inc.",NYQ,618461888.0,38413780.0,35691780.0,Healthcare,Medical Care Facilities,United States,USD
AMOM,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF,PCX,,,,,,,USD
AMP,"Ameriprise Financial, Inc.",NYQ,47308300288.0,92905713.0,92544310.0,Financial Services,Asset Management,United States,USD
AMPX,"Amprius Technologies, Inc.",NYQ,1079101440.0,130483838.0,121447832.0,Industrials,Electrical Equipment & Parts,United States,USD
AMPY,Amplify Energy Corp.,NYQ,184570544.0,40475997.0,32611106.0,Energy,Oil & Gas E&P,United States,USD
AMS,American Shared Hospital Services,ASE,14002021.0,6543000.0,3850621.0,Healthcare,Medical Care Facilities,United States,USD
AMT,American Tower Corporation,NYQ,82604204032.0,468146623.0,466793679.0,Real Estate,REIT - Specialty,United States,USD
AMTB,Amerant Bancorp Inc.,NYQ,849523136.0,41952590.0,37431869.0,Financial Services,Banks - Regional,United States,USD
AMTD,AMTD IDEA Group,NYQ,81030832.0,42487253.0,208541538.0,Financial Services,Asset Management,France,USD
AMTM,"Amentum Holdings, Inc.",NYQ,7245559296.0,243712062.0,151742061.0,Industrials,Specialty Business Services,United States,USD
AMX,"América Móvil, S.A.B. de C.V.",NYQ,62658461696.0,3013875000.0,18270854858.0,Communication Services,Telecom Services,Mexico,USD
AMZA,InfraCap MLP ETF,PCX,,,,,,,USD
AMZE,"Amaze Holdings, Inc.",ASE,6674525.0,19941815.0,18404102.0,Consumer Defensive,Beverages - Wineries & Distilleries,United States,USD
AMZY,YieldMax AMZN Option Income Strategy ETF,PCX,,,,,,,USD
AN,"AutoNation, Inc.",NYQ,7713135616.0,36272177.0,34503409.0,Consumer Cyclical,Auto & Truck Dealerships,United States,USD
ANDG,Andersen Group Inc.,NYQ,2813755392.0,12650000.0,,Consumer Cyclical,Personal Services,United States,USD
ANET,"Arista Networks, Inc.",NYQ,166024151040.0,1259285070.0,1041479124.0,Technology,Computer Hardware,United States,USD
ANF,Abercrombie & Fitch Co.,NYQ,5970335744.0,45857556.0,44756975.0,Consumer Cyclical,Apparel Retail,United States,USD
ANGX,"Angel Studios, Inc.",NYQ,812811456.0,111053974.0,86971473.0,Communication Services,Entertainment,United States,USD
ANVS,"Annovis Bio, Inc.",NYQ,95410392.0,26502889.0,22408193.0,Healthcare,Biotechnology,United States,USD
AOA,iShares Core 80/20 Aggressive Allocation ETF,PCX,,,,,,,USD
AOD,Abrdn Total Dynamic Dividend Fund,NYQ,1052201344.0,105430999.0,,Financial Services,Asset Management,United Kingdom,USD
AOK,iShares Core 30/70 Conservative Allocation ETF,PCX,,,,,,,USD
AOM,iShares Core 40/60 Moderate Allocation ETF,PCX,,,,,,,USD
AOMD,"Angel Oak Mortgage REIT, Inc. 9",NYQ,,,,,,,USD
AOMN,"Angel Oak Mortgage REIT, Inc. 9",NYQ,,,,,,,USD
AON,Aon plc,NYQ,76903219200.0,214935265.0,208063785.0,Financial Services,Insurance Brokers,Ireland,USD
AOS,A. O. Smith Corporation,NYQ,9495181312.0,113372121.0,112207580.0,Industrials,Specialty Industrial Machinery,United States,USD
AOTS,EA Series Trust - AOT Software Platform ETF,ASE,,,,,,United States,USD
AP,Ampco-Pittsburgh Corporation,NYQ,94517704.0,20326389.0,14395962.0,Industrials,Metal Fabrication,United States,USD
APAM,Artisan Partners Asset Management Inc.,NYQ,2947089408.0,70461656.0,63175921.0,Financial Services,Asset Management,United States,USD
APCB,ActivePassive Core Bond ETF,PCX,,,,,,,USD
APD,"Air Products and Chemicals, Inc.",NYQ,55073652736.0,222591758.0,222280841.0,Basic Materials,Specialty Chemicals,United States,USD
APG,APi Group Corporation,NYQ,16457397248.0,415905916.0,364129789.0,Industrials,Engineering & Construction,United States,USD
APH,Amphenol Corporation,NYQ,168221949952.0,1224055508.0,1216246034.0,Technology,Electronic Components,United States,USD
APIE,ActivePassive International Equity ETF,PCX,,,,,,,USD
APLE,"Apple Hospitality REIT, Inc.",NYQ,2853357568.0,236575692.0,219691285.0,Real Estate,REIT - Hotel & Motel,United States,USD
APLY,YieldMax AAPL Option Income Strategy ETF,PCX,,,,,,,USD
APO,"Apollo Global Management, Inc.",NYQ,86204366848.0,580422573.0,457500680.0,Financial Services,Asset Management,United States,USD
APOS,"Apollo Global Management, Inc. ",NYQ,,,,,,,USD
APT,"Alpha Pro Tech, Ltd.",ASE,46620280.0,10360062.0,8126847.0,Industrials,Building Products & Equipment,Canada,USD
APTV,Aptiv PLC,NYQ,16747908096.0,216079411.0,214043943.0,Consumer Cyclical,Auto Parts,Switzerland,USD
AQN,Algonquin Power & Utilities Corp.,NYQ,4758083584.0,768153848.0,642307473.0,Utilities,Utilities - Diversified,Canada,USD
AQNB,Algonquin Power & Utilities Cor,NYQ,,,,,,,USD
