symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
MATW,Matthews International Corporation,United States,NMS,USD,,30795844.0,29104228.0,827176384.0
TBI,"TrueBlue, Inc.",United States,NYQ,USD,,29939468.0,29155952.0,139218528.0
PI,"Impinj, Inc.",United States,NMS,USD,,30109132.0,29165211.0,5239289856.0
YXT,YXT.COM Group Holding Limited,China,NGM,USD,,54047675.0,29176665.0,41458124.0
VTGN,"Vistagen Therapeutics, Inc.",United States,NCM,USD,,39495451.0,29189903.0,28768486.0
PERF,Perfect Corp.,Taiwan,NYQ,USD,,85059953.0,29192800.0,176198208.0
TYGO,"Tigo Energy, Inc.",United States,NCM,USD,,70352248.0,29244022.0,104824848.0
SGHT,"Sight Sciences, Inc.",United States,NMS,USD,,52871731.0,29275077.0,466328672.0
MBINN,Merchants Bancorp,United States,NCM,USD,,,29282382.0,
MBIN,Merchants Bancorp,United States,NCM,USD,,45889238.0,29282382.0,1547385216.0
MBINL,Merchants Bancorp,United States,NCM,USD,,,29282382.0,
MBINM,Merchants Bancorp,United States,NCM,USD,,,29282382.0,
BMI,"Badger Meter, Inc.",United States,NYQ,USD,,29469785.0,29320078.0,5326663680.0
HSHP,Himalaya Shipping Ltd.,Bermuda,NYQ,USD,,46650000.0,29356758.0,425773280.0
YRD,Yiren Digital Ltd.,China,NYQ,USD,,86406484.0,29364989.0,347738176.0
GNLX,Genelux Corporation,United States,NCM,USD,,38051771.0,29367586.0,166286240.0
MOBXW,"Mobix Labs, Inc.",United States,NCM,USD,,,29377014.0,
JBIO,"Jade Biosciences, Inc.",United States,NCM,USD,,49314337.0,29440391.0,811220864.0
MRT,"Marti Technologies, Inc.",Turkey,ASE,USD,,78708475.0,29576648.0,181816560.0
FCN,"FTI Consulting, Inc.",United States,NYQ,USD,,30876070.0,29581685.0,5678535680.0
PAYS,"Paysign, Inc.",United States,NCM,USD,,55042888.0,29620229.0,289525600.0
NEOVW,NeoVolta Inc.,United States,NCM,USD,,,29679387.0,
WBI,WaterBridge Infrastructure LLC,United States,NYQ,USD,,43264850.0,29725548.0,873517376.0
ADAG,Adagene Inc.,China,NGM,USD,,47131270.0,29785784.0,83893664.0
IFS,Intercorp Financial Services Inc.,Peru,NYQ,USD,,111351705.0,29811078.0,4781442048.0
CPA,"Copa Holdings, S.A.",Panama,NYQ,USD,,30199961.0,29859042.0,4999511552.0
DBD,"Diebold Nixdorf, Incorporated",United States,NYQ,USD,,35867156.0,29865146.0,2538338304.0
EQ,"Equillium, Inc.",United States,NCM,USD,,60893283.0,29868764.0,91339928.0
OPRT,Oportun Financial Corporation,United States,NMS,USD,,44129020.0,29985669.0,236972832.0
EPM,Evolution Petroleum Corporation,United States,ASE,USD,,34690864.0,30078144.0,124193288.0
GBX,"The Greenbrier Companies, Inc.",United States,NYQ,USD,,31190881.0,30142301.0,1464099840.0
RCEL,"AVITA Medical, Inc.",United States,NCM,USD,,30493111.0,30198852.0,104896304.0
RGP,"Resources Connection, Inc.",United States,NMS,USD,,33390494.0,30212721.0,175634000.0
AYI,Acuity Inc.,United States,NYQ,USD,,30727680.0,30214677.0,11471257600.0
VMD,"Viemed Healthcare, Inc.",United States,NCM,USD,,38017907.0,30219674.0,283136064.0
TARS,"Tarsus Pharmaceuticals, Inc.",United States,NMS,USD,,42449105.0,30245836.0,3471487744.0
ELVA,Electrovaya Inc.,Canada,NCM,USD,,45511915.0,30285156.0,363185088.0
CECO,CECO Environmental Corp.,United States,NMS,USD,,35641031.0,30310915.0,2188537600.0
TACO,Berto Acquisition Corp.,United States,NGM,USD,,37518750.0,30328282.0,380064960.0
TACOW,Berto Acquisition Corp.,United States,NGM,USD,,,30328282.0,
TACOU,Berto Acquisition Corp.,United States,NGM,USD,,,30328282.0,
SHBI,"Shore Bancshares, Inc.",United States,NMS,USD,,33426756.0,30358514.0,599676032.0
